N,set_cardinality,add_ds_card,mult_ds_card,count
49,8,35,26,52
49,8,35,27,8
49,8,35,28,34
49,8,35,29,26
49,8,35,30,2036
49,8,35,31,816
49,8,35,32,1926
49,8,35,33,35565
49,8,35,34,30501
49,8,35,35,423644
49,8,35,36,1440116
49,8,36,26,10
49,8,36,27,1
49,8,36,28,1
49,8,36,30,74
49,8,36,31,20
49,8,36,32,52
49,8,36,33,860
49,8,36,34,700
49,8,36,35,9530
49,8,36,36,32030
50,8,15,30,3
50,8,15,31,4
50,8,15,32,4
50,8,15,34,8
50,8,15,35,13
50,8,15,36,103
50,8,16,30,6
50,8,16,31,4
50,8,16,32,4
50,8,16,33,6
50,8,16,34,6
50,8,16,35,34
50,8,16,36,170
50,8,17,26,2
50,8,17,27,4
50,8,17,28,4
50,8,17,30,5
50,8,17,31,15
50,8,17,32,13
50,8,17,33,35
50,8,17,34,57
50,8,17,35,174
50,8,17,36,767
50,8,18,26,3
50,8,18,27,5
50,8,18,28,3
50,8,18,30,16
50,8,18,31,29
50,8,18,32,15
50,8,18,33,82
50,8,18,34,73
50,8,18,35,388
50,8,18,36,1443
50,8,19,26,3
50,8,19,27,7
50,8,19,28,3
50,8,19,29,6
50,8,19,30,36
50,8,19,31,46
50,8,19,32,61
50,8,19,33,185
50,8,19,34,225
50,8,19,35,1047
50,8,19,36,3564
50,8,20,22,1
50,8,20,26,2
50,8,20,27,7
50,8,20,28,10
50,8,20,29,8
50,8,20,30,80
50,8,20,31,84
50,8,20,32,98
50,8,20,33,384
50,8,20,34,413
50,8,20,35,1952
50,8,20,36,6923
50,8,21,26,10
50,8,21,27,15
50,8,21,28,16
50,8,21,29,16
50,8,21,30,136
50,8,21,31,188
50,8,21,32,407
50,8,21,33,1363
50,8,21,34,1419
50,8,21,35,8843
50,8,21,36,30091
50,8,22,26,13
50,8,22,27,37
50,8,22,28,53
50,8,22,29,36
50,8,22,30,278
50,8,22,31,263
50,8,22,32,546
50,8,22,33,2232
50,8,22,34,2126
50,8,22,35,13979
50,8,22,36,49238
50,8,23,22,3
50,8,23,26,10
50,8,23,27,34
50,8,23,28,94
50,8,23,29,124
50,8,23,30,624
50,8,23,31,774
50,8,23,32,1332
50,8,23,33,6292
50,8,23,34,6801
