N,set_cardinality,add_ds_card,mult_ds_card,count
23,7,18,19,2
23,7,18,22,18
23,7,18,23,22
23,7,18,24,29
23,7,18,25,185
23,7,18,26,163
23,7,18,27,961
23,7,18,28,1921
23,7,19,18,1
23,7,19,19,1
23,7,19,21,1
23,7,19,22,32
23,7,19,23,23
23,7,19,24,43
23,7,19,25,248
23,7,19,26,311
23,7,19,27,1736
23,7,19,28,3506
23,7,20,18,2
23,7,20,19,2
23,7,20,20,4
23,7,20,21,5
23,7,20,22,67
23,7,20,23,63
23,7,20,24,122
23,7,20,25,732
23,7,20,26,678
23,7,20,27,4397
23,7,20,28,8822
23,7,21,19,6
23,7,21,20,1
23,7,21,21,5
23,7,21,22,61
23,7,21,23,83
23,7,21,24,189
23,7,21,25,1097
23,7,21,26,1242
23,7,21,27,7709
23,7,21,28,15844
23,7,22,18,1
23,7,22,19,3
23,7,22,20,5
23,7,22,21,8
23,7,22,22,117
23,7,22,23,115
23,7,22,24,268
23,7,22,25,2040
23,7,22,26,2067
23,7,22,27,14137
23,7,22,28,29263
23,7,23,18,2
23,7,23,19,1
23,7,23,20,1
23,7,23,21,7
23,7,23,22,121
23,7,23,23,109
23,7,23,24,276
23,7,23,25,2330
23,7,23,26,2359
23,7,23,27,17500
23,7,23,28,35878
23,7,24,18,3
23,7,24,20,1
23,7,24,21,4
23,7,24,22,135
23,7,24,23,56
23,7,24,24,240
23,7,24,25,2246
23,7,24,26,2070
23,7,24,27,16699
23,7,24,28,32822
23,7,25,20,1
23,7,25,21,1
23,7,25,22,76
23,7,25,23,22
23,7,25,24,107
23,7,25,25,1209
23,7,25,26,1020
23,7,25,27,8376
23,7,25,28,15421
23,7,26,18,1
23,7,26,22,29
23,7,26,23,1
23,7,26,24,28
23,7,26,25,286
23,7,26,26,240
23,7,26,27,1986
23,7,26,28,3459
23,7,27,25,1
23,7,27,26,1
23,7,27,27,29
23,7,27,28,39
24,7,13,25,6
24,7,13,26,4
24,7,13,27,6
24,7,13,28,20
24,7,14,22,3
24,7,14,25,5
24,7,14,26,4
24,7,14,27,15
24,7,14,28,33
24,7,15,22,7
24,7,15,23,4
24,7,15,24,2
24,7,15,25,20
24,7,15,26,15
24,7,15,27,64
24,7,15,28,128
24,7,16,22,8
24,7,16,23,6
24,7,16,24,4
24,7,16,25,32
24,7,16,26,25
24,7,16,27,137
24,7,16,28,232
24,7,17,19,2
24,7,17,22,13
24,7,17,23,14
